name,country,patent_count,global_rank,rank_in_country
Shunpei Yamazaki,JP,6787,1,1
Kia Silverbrook,AU,4778,2,1
Tao Luo,US,4490,3,1
Jonathan P. Ive,US,2947,4,2
Junyi Li,US,2881,5,3
Kangguo Cheng,US,2835,6,4
"Frederick E. Shelton, IV",US,2723,7,5
Peter Gaal,US,2554,8,6
Duncan Robert Kerr,US,2534,9,7
Bartley K. Andre,US,2478,10,8
Richard P. Howarth,US,2402,11,9
Wanshi Chen,US,2342,12,10
Eugene Antony Whang,US,2248,13,11
Xiaoxia Zhang,US,2158,14,12
Peter Russell-Clarke,US,2012,15,13
Rico Zörkendörfer,US,1993,16,14
Chen-Hua Yu,TW,1981,17,1
"Lowell L. Wood, JR.",US,1974,18,15
Christopher J. Stringer,US,1918,19,16
Esmael Hejazi Dinan,US,1915,20,17
Roderick A. Hyde,US,1893,21,18
Daniele De Iuliis,US,1835,22,19
Jing Sun,US,1833,23,20
Hanbyul Seo,KR,1823,24,1
Jody Akana,US,1757,25,21
Matthew Dean Rohrbach,US,1731,26,22
Jeremy Bataillou,US,1717,27,23
Daniel J. Coster,US,1704,28,24
Shan Liu,US,1702,29,25
M. Evans Hankey,US,1676,30,26
